time,temp,rh,wind,winddir,pressure
2/12/2020 3:06,7.767,31.52,3.234,318,973.4609
2/12/2020 3:06,7.801,31.52,2.45,317.5,973.6265
2/12/2020 3:06,7.87,31.49,1.862,301.2,973.6265
2/12/2020 3:06,7.87,31.59,1.47,309,973.3782
2/12/2020 3:06,7.767,31.59,2.45,1.093,972.9643
2/12/2020 3:06,7.801,31.63,2.646,43.61,972.8815
2/12/2020 3:06,7.698,31.63,1.862,350.8,972.7987
2/12/2020 3:06,7.698,31.76,2.156,9.74,973.2954
2/12/2020 3:06,7.732,31.7,2.254,321,973.4609
2/12/2020 3:06,7.663,31.8,3.038,334.6,973.6265
2/12/2020 3:06,7.732,31.73,3.822,307.9,973.5437
2/12/2020 3:06,7.732,31.83,3.626,291,973.2954
2/12/2020 3:06,7.663,31.87,3.038,338.6,972.9643
2/12/2020 3:06,7.629,31.94,2.548,330,972.7987
2/12/2020 3:06,7.629,31.9,3.136,312.2,973.0471
2/12/2020 3:07,7.594,31.9,2.646,294.2,973.3782
2/12/2020 3:07,7.663,31.9,2.352,334.6,973.2126
2/12/2020 3:07,7.56,31.97,2.744,299.7,973.4609
2/12/2020 3:07,7.56,31.97,3.332,338.8,973.7092
2/12/2020 3:07,7.594,31.94,3.234,286,973.1298
2/12/2020 3:07,7.594,32.04,3.038,312.9,973.0471
2/12/2020 3:07,7.594,32.04,3.038,308.7,972.7987
2/12/2020 3:07,7.525,32.01,3.038,306,972.8815
2/12/2020 3:07,7.56,31.97,2.94,319.5,973.4609
2/12/2020 3:07,7.56,32.04,2.646,306,973.5437
2/12/2020 3:07,7.56,32.04,2.352,281.4,973.5437
2/12/2020 3:07,7.491,32.01,1.862,272.6,973.4609
2/12/2020 3:07,7.422,32.01,1.666,267.7,973.1298
2/12/2020 3:07,7.422,32.07,1.372,266.9,972.9643
2/12/2020 3:07,7.422,32.04,1.372,268.2,972.7987
2/12/2020 3:07,7.491,32.04,1.274,273.1,972.9643
2/12/2020 3:07,7.422,31.97,1.372,296.9,973.5437
